City,Labor Force,Employment,Unemployment Number,Unemployment Rate
Brentwood,"29,200","28,200","1,000",3.3%
Byron,800,700,0,3.9%
Clayton,"6,100","6,000",100,1.8%
Clyde,600,600,0,1.4%
Concord,"66,900","64,900","2,100",3.1%
Crockett,"1,700","1,700",100,3.7%
Danville town,"21,100","20,500",600,2.9%
Diablo,100,100,0,0.0%
Discovery Bay,"7,900","7,600",200,3.1%
East Richmond Heights,"2,100","2,000",0,1.6%
El Cerrito,"14,000","13,700",400,2.6%
El Sobrante,"7,600","7,300",300,3.6%
Hercules,"14,100","13,700",400,2.9%
Kensington,"3,000","2,900",100,1.7%
Knightsen,700,700,0,3.8%
Lafayette,"12,800","12,500",300,2.7%
Martinez,"20,900","20,300",600,3.0%
Mountain View,"1,400","1,300",100,5.5%
Oakley,"19,900","19,200",700,3.4%
Orinda,"9,200","9,000",200,1.9%
Pacheco,"2,500","2,400",100,4.7%
Pinole,"10,300","10,000",300,2.7%
Pittsburg,"34,700","33,400","1,300",3.9%
Pleasant Hill,"18,400","17,900",500,2.8%
Port Costa,200,200,0,0.0%
Richmond,"53,600","51,600","2,000",3.7%
Rodeo,"5,000","4,800",200,4.0%
Rollingwood,"1,500","1,400",100,4.4%
San Pablo,"14,100","13,600",500,3.6%
San Ramon,"40,300","39,200","1,100",2.7%
Tara Hills,"2,500","2,400",100,4.6%
Vine Hill,"1,800","1,700",100,4.0%
Walnut Creek,"34,800","33,900",900,2.7%
Bertsch Oceanview,820,730,90,11.0%
Crescent,"1,530","1,450",80,5.2%
Klamath,280,260,30,9.5%
Brawley,"10,000","8,300","1,700",16.8%
Calexico,"19,500","12,200","7,400",37.7%
Calipatria,"1,200",900,300,26.2%
El Centro,"18,200","15,200","3,000",16.3%
Heber,"1,800","1,300",500,26.9%
Holtville,"2,500","1,900",600,23.2%
Imperial,"7,800","6,500","1,300",16.6%
Westmorland,900,700,200,18.2%
Cameron Park,"9,600","9,300",300,3.3%
Diamond Springs,"5,000","4,700",300,5.1%
El Dorado Hills,"22,900","22,200",700,2.9%
Georgetown,"1,000","1,000",0,4.8%
Placerville,"4,800","4,600",200,3.8%
Pollock Pines,"3,200","3,100",100,3.0%
Shingle Springs,"2,100","2,100",100,3.2%
