City,Labor Force,Employment,Unemployment Number,Unemployment Rate
Sand,200,200,0,2.4%
Seaside,"18,800","18,200",600,3.2%
Soledad,"8,400","7,900",500,5.6%
Spreckels,300,300,0,0.0%
Hollister,"19,500","18,600","1,000",4.9%
Ridgemark,"1,500","1,400",0,2.5%
San Juan Bautista,"1,100","1,000",0,3.4%
Adelanto,"9,700","8,900",800,8.1%
Apple Valley town,"29,200","27,700","1,500",5.0%
Barstow,"8,700","8,200",500,6.1%
Big Bear,"5,900","5,700",200,3.1%
Big Bear Lake,"2,400","2,300",0,1.9%
Big River,400,400,0,4.9%
Bloomington,"10,500","9,900",500,5.1%
Bluewater,0,0,0,0.0%
Chino,"42,800","41,300","1,500",3.5%
Chino Hills,"44,000","42,800","1,200",2.7%
Colton,"24,800","23,700","1,100",4.3%
Crestline,"4,600","4,500",100,2.1%
Fontana,"98,800","95,100","3,700",3.8%
Grand Terrace,"6,300","6,000",200,3.8%
Hesperia,"35,900","34,000","1,900",5.4%
Highland,"24,800","23,700","1,000",4.1%
Joshua Tree,"2,900","2,700",200,6.1%
Lake Arrowhead,"4,900","4,800",100,2.6%
Lenwood,"2,200","2,100",0,1.7%
Loma Linda,"11,500","11,200",300,2.5%
Mentone,"5,200","5,000",200,3.7%
Montclair,"19,200","18,600",600,3.2%
Morongo Valley,"1,600","1,600",100,4.2%
Mountain View Acres,"1,300","1,200",100,7.1%
Muscoy,"4,500","4,100",500,10.0%
Needles,"1,800","1,700",0,2.4%
Ontario,"86,300","83,200","3,100",3.6%
Rancho Cucamonga,"96,600","93,600","3,000",3.1%
Redlands,"35,700","34,600","1,100",3.1%
Rialto,"45,000","42,900","2,100",4.7%
Running Springs,"2,100","2,000",100,4.8%
San Antonio Heights,"1,700","1,700",0,1.0%
San Bernardino,"85,200","80,800","4,400",5.1%
Searles Valley,600,600,100,9.8%
Twentynine Palms,"7,100","6,700",400,5.5%
Upland,"39,700","38,300","1,400",3.4%
Victorville,"46,300","43,500","2,800",6.0%
Wrightwood,"2,100","2,000",100,3.0%
Yucaipa,"25,300","24,400",800,3.4%
Yucca Valley town,"8,600","8,200",500,5.6%
Bonita,"6,100","5,800",300,4.3%
Bostonia,"8,100","7,600",600,7.3%
Carlsbad,"55,500","53,800","1,700",3.1%
Casa de Oro Mount Helix,"9,900","9,500",400,3.7%
Chula Vista,"123,700","119,300","4,500",3.6%
Coronado,"8,800","8,500",300,3.3%
Del Mar,"2,500","2,400",0,1.8%
El Cajon,"45,700","43,900","1,800",3.9%
Encinitas,"33,600","32,700",900,2.6%
Escondido,"69,800","67,600","2,200",3.2%
Fallbrook,"13,500","13,100",400,3.2%
Imperial Beach,"12,000","11,600",500,3.9%
La Mesa,"31,000","30,000","1,000",3.3%
Lakeside,"10,800","10,400",400,3.7%
Lemon Grove,"12,600","12,100",500,3.8%
National,"24,900","23,900","1,000",4.1%
Oceanside,"82,900","80,100","2,900",3.5%
Poway,"26,000","25,300",700,2.6%
Ramona,"11,300","10,900",300,3.0%
San Diego,"722,100","698,600","23,500",3.2%
San Marcos,"42,600","41,300","1,300",3.1%
Santee,"29,500","28,600",900,3.0%
Solana Beach,"7,300","7,200",100,1.7%
Spring Valley,"14,100","13,400",700,4.8%
Valley Center,"4,600","4,400",200,3.6%
Vista,"45,500","43,900","1,600",3.5%
San Francisco,"586,900","573,600","13,300",2.3%
Arroyo Grande,"9,000","8,700",200,2.7%
Atascadero,"15,100","14,700",500,3.0%
Cambria,"2,600","2,500",100,4.6%
Cayucos,"1,400","1,400",0,2.5%
El Paso de Robles (Paso Robles),"15,800","15,300",500,2.9%
Grover Beach,"6,600","6,400",200,3.0%
Lake Nacimiento,"1,200","1,100",0,2.2%
Morro Bay,"4,900","4,800",200,3.5%
Nipomo,"8,900","8,600",300,3.6%
Oceano,"3,600","3,500",100,4.0%
Pismo Beach,"4,200","4,100",100,2.5%
San Luis Obispo,"24,900","24,200",700,2.8%
San Miguel,"1,300","1,200",100,7.9%
Shandon,700,600,0,5.0%
Templeton,"3,900","3,800",100,1.4%
Atherton town,"3,300","3,200",100,2.3%
Belmont,"17,000","16,600",400,2.2%
Brisbane,"3,000","2,900",100,1.7%
Broadmoor,"3,400","3,200",200,4.8%
Burlingame,"18,700","18,400",400,2.0%
Daly,"66,100","64,600","1,500",2.2%
East Palo Alto,"15,300","14,900",400,2.5%
El Granada,"4,000","3,900",100,2.9%
Foster,"20,500","20,100",400,2.0%
Half Moon Bay,"8,000","7,900",100,1.5%
Hillsborough town,"5,200","5,100",100,2.2%
Menlo Park,"20,100","19,700",400,2.1%
Millbrae,"13,100","12,800",300,2.2%
North Fair Oaks,"9,100","8,800",200,2.6%
Pacifica,"24,800","24,300",500,2.1%
Redwood,"52,100","51,100","1,100",2.1%
San Bruno,"27,500","26,900",600,2.2%
San Carlos,"18,100","17,700",400,2.1%
San Mateo,"65,700","64,400","1,300",2.0%
South San Francisco,"40,000","39,000","1,000",2.4%
West Menlo Park,"2,000","1,900",0,2.4%
Corte Madera town,"5,500","5,300",100,2.5%
Fairfax town,"4,700","4,700",100,1.8%
Inverness,600,600,0,0.6%
Larkspur,"6,800","6,700",200,2.2%
Mill Valley,"7,300","7,200",100,1.2%
Novato,"30,200","29,400",800,2.5%
Point Reyes Station,200,200,0,0.0%
San Anselmo town,"7,400","7,200",200,2.8%
San Rafael,"33,000","32,200",800,2.3%
Sausalito,"4,700","4,600",100,2.2%
Tamalpais Homestead Valley,"6,100","5,900",200,3.2%
Tomales,300,300,0,0.0%
Campbell,"26,400","25,800",600,2.4%
Cupertino,"30,300","29,600",800,2.5%
East Foothills,"3,800","3,800",100,1.5%
Gilroy,"30,100","29,300",900,2.9%
Los Altos,"15,100","14,700",400,2.6%
Los Gatos town,"16,400","15,900",500,2.8%
Milpitas,"42,300","41,100","1,200",2.9%
Morgan Hill,"24,500","23,800",600,2.6%
Mountain View,"52,200","51,100","1,000",2.0%
Palo Alto,"36,400","35,700",700,2.0%
San Jose,"563,300","547,600","15,700",2.8%
San Martin,"4,000","3,900",100,2.7%
Santa Clara,"71,200","69,400","1,700",2.5%
Saratoga,"15,200","14,800",400,2.7%
Sunnyvale,"89,000","87,100","1,900",2.1%
Aptos,"3,500","3,400",100,2.3%
Aptos Hills Larkin Valley,"1,200","1,200",100,7.0%
Ben Lomond,"3,800","3,700",100,2.4%
Boulder Creek,"2,500","2,400",200,6.0%
Capitola,"5,700","5,600",100,1.8%
Corralitos,"1,600","1,500",0,1.6%
Day Valley,"1,700","1,700",0,2.6%
Felton,"2,100","2,000",100,5.1%
Freedom,"1,600","1,500",0,2.1%
Interlaken,"3,300","3,200",100,3.1%
Live Oak,"9,400","9,100",200,2.5%
Rio del Mar,"4,800","4,700",100,3.0%
Santa Cruz,"34,100","32,800","1,300",3.8%
Scotts Valley,"6,200","6,000",200,3.0%
Soquel,"6,200","6,000",200,3.6%
Twin Lakes,"2,900","2,700",200,5.7%
Watsonville,"25,200","23,900","1,200",5.0%
Buellton,"2,800","2,800",0,1.2%
Carpinteria,"7,500","7,200",300,3.5%
Goleta,"17,300","16,900",400,2.5%
Guadalupe,"3,200","3,100",100,3.0%
Isla Vista,"12,800","11,900","1,000",7.7%
Lompoc,"17,500","16,700",800,4.5%
Los Alamos,700,700,0,4.8%
Mission Canyon,"1,500","1,400",0,3.3%
Mission Hills,"2,100","2,000",100,5.1%
Montecito,"3,400","3,200",200,4.5%
Orcutt,"14,700","14,200",500,3.4%
Santa Barbara,"51,100","49,700","1,400",2.8%
Santa Maria,"48,500","46,500","2,000",4.1%
Santa Ynez,"2,300","2,200",100,5.2%
Solvang,"3,000","3,000",100,2.1%
Summerland,500,500,0,2.2%
Toro Canyon,800,800,0,2.3%
Vandenberg AFB,900,800,0,4.1%
Vandenberg Village,"3,400","3,300",100,3.0%
Bodega Bay,500,500,0,1.7%
Boyes Hot Springs,"4,000","3,900",100,2.6%
Cloverdale,"4,500","4,400",100,1.8%
Cotati,"4,400","4,300",100,2.5%
El Verano,"2,000","2,000",0,1.9%
Fetters Hot Springs Agua Caliente,"2,600","2,500",100,2.7%
Forestville,"2,100","2,000",100,3.0%
Glen Ellen,500,500,0,0.0%
Graton,800,700,0,5.8%
Guerneville,"2,400","2,300",100,3.0%
Healdsburg,"6,200","6,000",100,2.3%
Monte Rio,600,500,0,7.5%
Occidental,500,500,0,0.0%
Petaluma,"33,800","33,000",900,2.6%
Rohnert Park,"23,600","23,000",700,2.8%
Santa Rosa,"89,900","87,400","2,500",2.8%
Sebastopol,"4,100","3,900",200,4.1%
Sonoma,"5,600","5,400",200,3.7%
Windsor town,"14,300","13,900",400,2.7%
Loyalton,430,410,20,4.7%
Dunsmuir,670,630,30,4.7%
McCloud,390,360,30,8.2%
Mount Shasta,"1,640","1,620",20,1.3%
Weed,"1,140","1,070",70,6.1%
Yreka,"2,810","2,630",190,6.6%
August,"3,000","2,700",300,11.0%
Country Club,"4,400","3,900",400,10.1%
Escalon,"3,700","3,600",0,1.3%
Farmington,0,0,0,0.0%
French Camp,"1,100","1,000",100,9.6%
Garden Acres,"4,700","4,400",300,7.2%
Kennedy,"1,300","1,200",100,8.7%
Lathrop,"9,600","9,100",500,5.1%
Lincoln Village,"2,200","2,000",200,7.8%
Linden,"1,200","1,100",0,2.5%
Lockeford,"1,500","1,400",100,4.5%
Lodi,"29,400","27,900","1,500",5.0%
Manteca,"36,800","35,100","1,700",4.7%
Morada,"1,600","1,600",0,2.0%
Ripon,"7,600","7,400",200,3.0%
Stockton,"130,700","121,800","8,900",6.8%
Taft Mosswood,400,400,0,4.8%
Tracy,"43,700","41,800","1,900",4.4%
Live Oak,"4,000","3,800",200,4.9%
Sutter,"1,700","1,700",0,2.0%
Yuba,"32,300","30,300","2,000",6.1%
Corning,"3,100","2,820",290,9.3%
Los Molinos,770,730,40,5.3%
Manton,120,120,10,4.2%
Mineral,100,80,20,18.8%
Rancho Tehama Reserve,870,810,60,7.2%
Red Bluff,"5,370","5,050",320,5.9%
Tehama,150,140,10,8.1%
Hayfork,"1,220","1,210",10,0.7%
Lewiston,490,470,20,3.9%
Weaverville,"1,260","1,170",80,6.6%
Chinese Camp,40,40,0,0.0%
Columbia,790,700,90,11.6%
East Sonora,"1,150","1,150",0,0.0%
Jamestown,"1,250","1,200",40,3.4%
Mi Wuk Village,280,220,70,23.5%
Mono Vista,"1,540","1,510",40,2.3%
Sonora,"2,180","2,080",100,4.4%
Soulsbyville,"1,150","1,080",60,5.6%
Tuolumne,500,500,0,0.0%
Twain Harte,"1,220","1,220",0,0.0%
Benicia,"14,800","14,400",400,3.0%
Dixon,"9,700","9,300",400,4.3%
Elmira,100,100,0,4.5%
Fairfield,"53,000","51,000","2,000",3.8%
Green Valley,600,600,0,0.0%
Rio Vista,"3,000","2,900",100,3.0%
Suisun,"14,300","13,700",500,3.8%
Vacaville,"45,800","44,200","1,600",3.5%
Vallejo,"56,500","54,000","2,400",4.3%
Alpaugh,400,300,100,14.0%
Cutler,"2,300","2,100",300,12.1%
Dinuba,"11,300","9,900","1,300",11.9%
Ducor,300,300,0,8.6%
Earlimart,"3,700","3,200",500,13.9%
East Orosi,400,200,100,32.7%
East Porterville,"2,400","2,000",400,17.0%
Exeter,"4,900","4,500",400,8.4%
Farmersville,"4,900","4,300",600,12.1%
Goshen,"1,500","1,400",200,10.3%
Ivanhoe,"1,600","1,500",100,8.9%
Lemon Cove,100,100,0,12.9%
Lindsay,"5,600","5,100",500,9.2%
London,700,600,100,17.0%
Pixley,"1,500","1,400",100,9.8%
Poplar Cotton Center,"1,200",900,200,20.1%
Porterville,"25,900","22,700","3,200",12.5%
Richgrove,"1,400","1,000",400,27.4%
Springville,300,300,0,3.8%
Strathmore,"1,600","1,400",300,15.5%
Terra Bella,"1,500","1,200",300,19.5%
Three Rivers,"1,100","1,000",100,4.9%
Tipton,"1,300","1,100",200,14.3%
Traver,300,300,0,7.9%
Tulare,"28,300","26,500","1,800",6.4%
Visalia,"62,600","59,100","3,500",5.6%
Woodlake,"3,500","3,000",400,12.3%
Woodville,800,700,100,11.7%
Davis,"36,200","35,100","1,100",3.0%
Esparto,"1,800","1,700",100,5.9%
West Sacramento,"25,900","24,900","1,000",3.9%
Winters,"3,900","3,700",200,4.8%
Woodland,"30,500","29,200","1,300",4.4%
Beale AFB,200,200,0,9.3%
Challenge Brownsville,300,300,0,0.0%
Linda,"7,000","6,400",500,7.4%
Loma Rica,"1,000","1,000",0,2.0%
Marysville,"4,800","4,400",400,7.8%
Olivehurst,"5,300","4,900",400,8.0%
Wheatland,"1,700","1,600",100,7.5%
