City,Median Age
Mortmar ,49.40
Fairbanks Ranch ,49.40
Willow Creek ,49.50
Rough And Ready ,49.50
Nipinnawasee ,49.50
Kensington ,49.50
Cedarville ,49.50
Lake Of The Pines ,49.50
Groveland ,49.60
French Gulch ,49.60
Cleone ,49.60
Bootjack ,49.60
Villa Park ,49.60
Gold River ,49.70
Clear Creek ,49.70
North San Juan ,49.80
Calpine ,49.80
Alta Sierra ,49.80
Mountain Mesa ,49.80
Idyllwild-Pine Cove ,49.80
Palos Verdes Estates ,49.90
West Point ,50.00
San Geronimo ,50.00
Mesa ,50.00
East Oakdale ,50.00
Montecito ,50.00
Mad River ,50.00
Forest Ranch ,50.00
Drytown ,50.10
Cobb ,50.10
Bodfish ,50.10
Toro Canyon ,50.20
Los Altos Hills ,50.20
Coffee Creek ,50.20
Paradise ,50.20
Lake Don Pedro ,50.20
Taylorsville ,50.30
Springville ,50.30
Homestead Valley ,50.30
Castle Hill ,50.30
Big Bend ,50.30
Albion ,50.30
Stonyford ,50.40
Idlewild ,50.40
Concow ,50.40
Woodacre ,50.50
Tomales ,50.50
Reliez Valley ,50.50
Oak Shores ,50.60
Del Rio ,50.60
Shasta ,50.60
Weldon ,50.70
Monte Rio ,50.70
Hyampom ,50.70
Redcrest ,50.80
Rancho Murieta ,50.80
Mesa Vista ,50.80
Markleeville ,50.80
Julian ,50.80
Guinda ,50.80
Douglas City ,50.80
Mineral ,50.80
Pike ,50.90
Mi Wuk Village ,50.90
Paskenta ,51.00
Bear Valley Springs ,51.00
Sausalito ,51.10
Point Reyes Station ,51.10
Nicolaus ,51.10
Independence ,51.10
Walker ,51.10
Wilkerson ,51.20
Rancho Santa Fe ,51.30
Pioneer ,51.30
Newcastle ,51.30
Portola Valley ,51.30
Mission Canyon ,51.30
Onyx ,51.40
Mokelumne Hill ,51.40
Lewiston ,51.40
Glen Ellen ,51.40
Cold Springs CDP ,51.50
Pine Mountain Club ,51.60
Palm Springs ,51.60
Fiddletown ,51.60
Washington ,51.70
Rolling Hills ,51.70
Tuttletown ,51.70
Carmel Valley Village ,51.70
Pismo Beach ,51.80
Friant ,51.80
Mccloud ,51.80
Los Ranchos ,51.90
Hat Creek ,51.90
Deer Park ,51.90
Spring Valley ,51.90
Cherry Valley ,51.90
Posey ,52.00
Lytle Creek ,52.00
Furnace Creek ,52.00
Twain Harte ,52.00
Burnt Ranch ,52.10
Cedar Ridge ,52.20
Alhambra Valley ,52.20
Three Rivers ,52.30
Hornitos ,52.30
Hamilton Branch ,52.30
Forbestown ,52.30
Coarsegold ,52.30
Junction City ,52.30
Meadow Valley ,52.40
Port Costa ,52.50
Elk Creek ,52.50
Keddie ,52.50
West Bishop ,52.60
Sierraville ,52.60
Muir Beach ,52.60
Greenview ,52.60
Crescent Mills ,52.60
Butte Creek Canyon ,52.60
Pine Grove ,52.70
Hidden Meadows ,52.70
Tobin ,52.80
Bethel Island ,52.80
Phoenix Lake ,52.90
Paradise CDP ,52.90
Coulterville ,52.90
Rolling Hills CDP ,53.00
Palm Desert ,53.00
Alleghany ,53.00
Keene ,53.00
Cayucos ,53.00
Cold Springs ,53.10
Shingletown ,53.20
Black Point-Green Point ,53.20
Cromberg ,53.30
C-Road ,53.30
Sierra Village ,53.40
Aguanga ,53.40
Sky Valley ,53.50
Mountain Center ,53.50
Yankee Hill ,53.60
Pasatiempo ,53.70
Kenwood ,53.70
Gazelle ,53.70
Rail Road Flat ,53.70
Swall Meadows ,53.80
Robinson Mill ,53.80
Greeley Hill ,53.80
Beckwourth ,53.90
Manton ,53.90
Trinity Village ,54.00
Soda Bay ,54.00
Gasquet ,54.00
Belvedere ,54.00
Arnold ,54.10
Murphys ,54.10
Hiouchi ,54.20
Pine Flat ,54.30
Long Barn ,54.30
Lake Almanor Peninsula ,54.30
Berry Creek ,54.30
Shaver Lake ,54.30
Stinson Beach ,54.40
Lodoga ,54.50
Bodega ,54.50
Palo Verde ,54.50
Little River ,54.70
Mcgee Creek ,54.80
Edgewood ,54.80
Ruth ,54.90
Clearlake Oaks ,54.90
Buckhorn ,54.90
Big River ,54.90
Mcclenney Tract ,55.00
Johannesburg ,55.00
Dutch Flat ,55.00
Twain ,55.30
Mountain Ranch ,55.30
Clipper Mills ,55.40
Timber Cove ,55.40
New Pine Creek ,55.50
Little Grass Valley ,55.50
Green Valley CDP ,55.50
Strawberry CDP ,55.70
Verdi ,55.80
Kernville ,55.80
Blairsden ,55.80
La Porte ,56.00
Homewood Canyon ,56.00
Clio ,56.00
Goodyears Bar ,56.00
Ocotillo ,56.10
Mendocino ,56.10
Big Lagoon ,56.30
Wilsonia ,56.50
Pierpoint ,56.50
Freeport ,56.50
Downieville ,56.50
Sierra City ,56.60
Eagleville ,56.60
Borrego Springs ,56.60
Avila Beach ,56.90
Volcano ,57.10
Paradise Park ,57.10
Caspar ,57.10
Cambria ,57.10
Rio Vista ,57.20
Bodega Bay ,57.20
Seal Beach ,57.30
Inverness ,57.30
Anchor Bay ,57.30
Dillon Beach ,57.40
Kelly Ridge ,57.40
Tecopa ,57.50
Spring Garden ,57.50
Johnsville ,57.50
Dorrington ,57.60
Lakehead ,57.70
Cassel ,57.70
Poso Park ,57.80
Fort Washington ,57.80
Del Monte Forest ,57.80
Mabie ,57.90
Forest Meadows ,58.00
Butte Meadows ,58.00
Wofford Heights ,58.30
Squirrel Mountain Valley ,58.30
Panorama Heights ,58.30
Lake Wildwood ,58.40
Prattville ,58.50
Jenner ,58.50
Bombay Beach ,58.50
Salmon Creek ,59.00
Plumas Eureka (Historical) ,59.00
Bowles ,59.00
Randsburg ,59.10
Likely ,59.10
Woodlands ,59.20
Carmel By The Sea ,59.20
Sereno Del Mar ,59.30
Mohawk Vista ,59.30
Keeler ,59.30
Carmet ,59.30
Tennant ,59.50
Pearsonville ,59.80
Pine Mountain Lake ,60.00
Camp Nelson ,60.20
Terminous ,60.30
East Sonora ,60.40
Lake Davis ,60.50
California Hot Springs ,60.50
East Shore ,60.80
Kennedy Meadows ,61.00
Mount Laguna ,61.50
Silverado Resort ,61.80
Old Station ,61.90
Trinity Center ,62.00
Lake City ,62.20
Rancho Mirage ,62.30
Bass Lake ,62.30
Graeagle ,62.40
Storrie ,62.50
Spaulding ,63.00
March Arb ,63.00
Bucks Lake ,63.30
Lake San Marcos ,63.30
Darwin ,63.50
Sea Ranch ,63.70
Gold Mountain ,63.70
Valley Ranch ,63.80
Desert Edge ,63.80
Yountville ,64.00
Sequoia Crest ,64.50
Whitehawk ,65.30
Ponderosa ,65.30
Lake Almanor West ,65.40
Lake Almanor Country Club ,65.80
Indian Wells ,66.70
Blacklake ,66.90
Bluewater ,70.40
Sugarloaf Village ,71.00
Temelec ,71.50
Desert Palms ,74.10
Laguna Woods ,77.00
Graniteville ,78.30
