City,Violent crimes,Property Crimes
Pismo Beach,26,387
Pittsburg,175,2362
Placentia,82,732
Placerville,57,273
Pleasant Hill,60,1738
Pleasanton,61,1244
Pomona,777,4403
Porterville,158,1204
Port Hueneme,89,347
Poway,70,436
Rancho Cordova,305,1644
Rancho Cucamonga,283,3668
Rancho Mirage,29,677
Rancho Palos Verdes,24,472
Rancho Santa Margarita,27,203
Red Bluff,129,911
Redding,610,3924
Redlands,147,2837
Redondo Beach,158,1447
Redwood City,194,1728
Reedley,199,460
Rialto,328,2154
Richmond,843,4281
Ridgecrest,118,470
Rio Dell,19,57
Rio Vista,38,116
Ripon,18,258
Riverbank,28,688
Riverside,1384,9864
Rocklin,50,1039
Rohnert Park,160,735
Rolling Hills,1,18
Rolling Hills Estates,7,114
Rosemead,147,1186
Roseville,193,3070
Ross,4,21
Sacramento,2968,15078
St. Helena,6,56
Salinas,997,5227
San Bernardino,2128,9239
San Bruno,110,1054
San Buenaventura (Ventura),276,3867
San Clemente,69,687
Sand City,4,165
San Diego,5214,26812
San Dimas,69,631
San Fernando,75,406
San Francisco,6761,45093
San Gabriel,83,555
Sanger,97,549
San Jacinto,101,1875
San Jose,3242,24577
San Juan Capistrano,62,383
San Leandro,369,3757
San Luis Obispo,240,1439
San Marcos,196,1286
San Marino,5,221
San Mateo,230,1944
San Pablo,241,1162
San Rafael,193,1664
San Ramon,23,748
Santa Ana,1260,5784
Santa Barbara,302,2389
Santa Clara,162,3268
Santa Clarita,307,2437
Santa Cruz,524,3270
Santa Fe Springs,74,1124
Santa Maria,439,3045
Santa Monica,338,3026
Santa Paula,85,447
Santa Rosa,636,3850
Santee,130,794
Saratoga,19,288
Sausalito,21,232
Scotts Valley,17,264
Seal Beach,26,494
Seaside,116,507
Sebastopol,10,124
Selma,154,986
Shafter,46,462
Sierra Madre,13,92
Signal Hill,40,500
Simi Valley,140,1618
Solana Beach,22,188
Soledad,53,232
Solvang,9,81
Sonoma,34,166
Sonora,22,335
South El Monte,120,647
South Gate,506,2687
South Lake Tahoe,112,516
South Pasadena,30,475
South San Francisco,156,1274
Stallion Springs,4,11
Stanton,124,684
Stockton,3988,13148
Suisun City,68,606
Sunnyvale,167,2356
Susanville,107,315
Sutter Creek,3,42
Taft,46,276
Tehachapi,51,309
Temecula,100,2535
Temple City,45,428
Thousand Oaks,128,1599
Tiburon,1,107
Torrance,155,2623
Tracy,129,2262
Truckee,18,164
Tulare,457,2054
Tulelake,1,3
Turlock,372,2510
Tustin,132,1356
Twentynine Palms,62,301
Ukiah,134,551
Union City,207,1602
Upland,170,2165
Vacaville,268,2587
Vallejo,1034,4877
Vernon,25,312
Victorville,642,4374
Villa Park,5,84
Visalia,484,3796
Vista,340,1686
Walnut,29,294
Walnut Creek,74,2439
Waterford,18,196
Watsonville,265,1489
Weed,20,84
West Covina,225,2832
West Hollywood,267,1325
Westlake Village,7,173
Westminster,194,2210
Westmorland,8,4
West Sacramento,262,1295
Wheatland,4,50
Whittier,239,2247
Wildomar,39,550
Williams,6,64
Willits,33,50
Willows,22,167
Windsor,86,254
Winters,21,155
Woodlake,30,122
Woodland,298,1756
Yorba Linda,45,702
Yountville,7,40
Yreka,62,298
Yuba City,223,1699
Yucaipa,71,978
Yucca Valley,75,533
